2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:266 | <module> | process_list[<Process name='Process-8' pid=38445 parent=38254 started>, <Process name='Process-9' pid=38438 parent=38254 started>, <Process name='Process-10' parent=38254 initial>, <Process name='Process-11' parent=38254 initial>, <Process name='Process-12' parent=38254 initial>, <Process name='Process-13' parent=38254 initial>]
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:268 | <module> | 123True, True
2024-08-07 17:44:22 | INFO | mylogger | main.py:275 | <module> | Process-10 start
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:276 | <module> | Process-10 start
2024-08-07 17:44:22 | INFO | mylogger | main.py:275 | <module> | Process-11 start
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:276 | <module> | Process-11 start
2024-08-07 17:44:22 | INFO | mylogger | main.py:275 | <module> | Process-12 start
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:276 | <module> | Process-12 start
2024-08-07 17:44:22 | INFO | mylogger | main.py:275 | <module> | Process-13 start
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:276 | <module> | Process-13 start
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:23 | DEBUG | mylogger | main.py:103 | Inference_seg | Inference : frame_queue is empty!!
2024-08-07 17:44:29 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:29 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:30 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:31 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
2024-08-07 17:44:32 | DEBUG | mylogger | main.py:268 | <module> | 123True, True
2024-08-07 17:44:32 | DEBUG | mylogger | main.py:171 | travel_control | Inference : No obstacles and river!!!!!
